Unnamed: 0,branch_code,location,student_population,region,establishment_year,size_category,stratum,study_group
372,B373,rural,71,Sind,2013,small,Sind_rural_small,experimental
384,B385,rural,85,Sind,2019,small,Sind_rural_small,experimental
10,B011,rural,100,Sind,2014,small,Sind_rural_small,experimental
157,B158,rural,62,Sind,2018,small,Sind_rural_small,experimental
370,B371,rural,63,Punjab,2017,small,Punjab_rural_small,experimental
213,B214,rural,102,Punjab,2019,small,Punjab_rural_small,experimental
310,B311,rural,64,Punjab,2017,small,Punjab_rural_small,experimental
230,B231,rural,123,Punjab,2013,small,Punjab_rural_small,experimental
352,B353,rural,116,Balochistan,2016,small,Balochistan_rural_small,experimental
165,B166,rural,148,Balochistan,2018,small,Balochistan_rural_small,experimental
337,B338,rural,130,Balochistan,2018,small,Balochistan_rural_small,experimental
227,B228,rural,128,Balochistan,2016,small,Balochistan_rural_small,experimental
391,B392,rural,130,KPK,2011,small,KPK_rural_small,experimental
207,B208,rural,134,KPK,2018,small,KPK_rural_small,experimental
168,B169,rural,91,KPK,2016,small,KPK_rural_small,experimental
362,B363,urban,484,Sind,2014,large,Sind_urban_large,experimental
189,B190,urban,326,Sind,2013,large,Sind_urban_large,experimental
160,B161,urban,496,Sind,2012,large,Sind_urban_large,experimental
179,B180,rural,157,KPK,2016,medium,KPK_rural_medium,experimental
272,B273,rural,183,KPK,2010,medium,KPK_rural_medium,experimental
19,B020,rural,195,KPK,2011,medium,KPK_rural_medium,experimental
196,B197,urban,285,Balochistan,2011,medium,Balochistan_urban_medium,experimental
94,B095,urban,198,Balochistan,2018,medium,Balochistan_urban_medium,experimental
5,B006,urban,393,KPK,2014,large,KPK_urban_large,experimental
263,B264,urban,419,KPK,2017,large,KPK_urban_large,experimental
28,B029,rural,185,Sind,2012,medium,Sind_rural_medium,experimental
221,B222,rural,161,Sind,2016,medium,Sind_rural_medium,experimental
22,B023,urban,395,Punjab,2011,large,Punjab_urban_large,experimental
291,B292,urban,419,Punjab,2017,large,Punjab_urban_large,experimental
14,B015,urban,191,Sind,2016,medium,Sind_urban_medium,experimental
301,B302,urban,166,Sind,2012,medium,Sind_urban_medium,experimental
4,B005,rural,199,Punjab,2011,medium,Punjab_rural_medium,experimental
24,B025,rural,173,Punjab,2018,medium,Punjab_rural_medium,experimental
71,B072,urban,243,KPK,2018,medium,KPK_urban_medium,experimental
76,B077,urban,251,KPK,2017,medium,KPK_urban_medium,experimental
21,B022,urban,314,Balochistan,2018,large,Balochistan_urban_large,experimental
45,B046,urban,383,Balochistan,2013,large,Balochistan_urban_large,experimental
72,B073,urban,159,Punjab,2011,medium,Punjab_urban_medium,experimental
79,B080,urban,198,Punjab,2011,medium,Punjab_urban_medium,experimental
318,B319,rural,160,Balochistan,2013,medium,Balochistan_rural_medium,experimental
363,B364,urban,110,KPK,2011,small,KPK_urban_small,experimental
99,B100,urban,117,Punjab,2019,small,Punjab_urban_small,experimental
93,B094,urban,116,Balochistan,2014,small,Balochistan_urban_small,experimental
118,B119,urban,146,Sind,2016,small,Sind_urban_small,experimental
257,B258,rural,62,Balochistan,2018,small,Balochistan_rural_small,experimental
52,B053,rural,100,KPK,2017,small,KPK_rural_small,experimental
288,B289,urban,472,Balochistan,2018,large,Balochistan_urban_large,experimental
208,B209,urban,414,Sind,2010,large,Sind_urban_large,experimental
66,B067,urban,445,Sind,2012,large,Sind_urban_large,experimental
375,B376,urban,227,Punjab,2019,medium,Punjab_urban_medium,experimental
233,B234,rural,129,Sind,2015,small,Sind_rural_small,control
260,B261,rural,83,Sind,2017,small,Sind_rural_small,control
323,B324,rural,60,Sind,2010,small,Sind_rural_small,control
321,B322,rural,141,Sind,2019,small,Sind_rural_small,control
344,B345,rural,67,Punjab,2012,small,Punjab_rural_small,control
239,B240,rural,71,Punjab,2015,small,Punjab_rural_small,control
162,B163,rural,125,Punjab,2016,small,Punjab_rural_small,control
305,B306,rural,87,Punjab,2010,small,Punjab_rural_small,control
108,B109,rural,106,Balochistan,2013,small,Balochistan_rural_small,control
159,B160,rural,111,Balochistan,2018,small,Balochistan_rural_small,control
109,B110,rural,57,Balochistan,2012,small,Balochistan_rural_small,control
343,B344,rural,79,Balochistan,2017,small,Balochistan_rural_small,control
130,B131,rural,125,KPK,2012,small,KPK_rural_small,control
222,B223,rural,134,KPK,2011,small,KPK_rural_small,control
6,B007,rural,107,KPK,2018,small,KPK_rural_small,control
104,B105,urban,492,Sind,2015,large,Sind_urban_large,control
225,B226,urban,434,Sind,2012,large,Sind_urban_large,control
15,B016,urban,363,Sind,2012,large,Sind_urban_large,control
50,B051,rural,152,KPK,2017,medium,KPK_rural_medium,control
264,B265,rural,158,KPK,2014,medium,KPK_rural_medium,control
200,B201,rural,190,KPK,2012,medium,KPK_rural_medium,control
8,B009,urban,287,Balochistan,2012,medium,Balochistan_urban_medium,control
276,B277,urban,217,Balochistan,2012,medium,Balochistan_urban_medium,control
17,B018,urban,487,KPK,2015,large,KPK_urban_large,control
348,B349,urban,365,KPK,2012,large,KPK_urban_large,control
35,B036,rural,150,Sind,2012,medium,Sind_rural_medium,control
368,B369,rural,169,Sind,2016,medium,Sind_rural_medium,control
33,B034,urban,315,Punjab,2012,large,Punjab_urban_large,control
139,B140,urban,424,Punjab,2013,large,Punjab_urban_large,control
39,B040,urban,278,Sind,2016,medium,Sind_urban_medium,control
69,B070,urban,228,Sind,2018,medium,Sind_urban_medium,control
292,B293,rural,154,Punjab,2012,medium,Punjab_rural_medium,control
303,B304,rural,160,Punjab,2010,medium,Punjab_rural_medium,control
283,B284,urban,271,KPK,2017,medium,KPK_urban_medium,control
336,B337,urban,255,KPK,2014,medium,KPK_urban_medium,control
277,B278,urban,324,Balochistan,2010,large,Balochistan_urban_large,control
357,B358,urban,499,Balochistan,2013,large,Balochistan_urban_large,control
334,B335,urban,297,Punjab,2017,medium,Punjab_urban_medium,control
324,B325,urban,200,Punjab,2019,medium,Punjab_urban_medium,control
341,B342,rural,172,Balochistan,2012,medium,Balochistan_rural_medium,control
193,B194,urban,111,KPK,2017,small,KPK_urban_small,control
105,B106,urban,138,Punjab,2019,small,Punjab_urban_small,control
203,B204,urban,109,Balochistan,2011,small,Balochistan_urban_small,control
394,B395,urban,124,Sind,2012,small,Sind_urban_small,control
238,B239,rural,54,KPK,2019,small,KPK_rural_small,control
199,B200,rural,194,Punjab,2010,medium,Punjab_rural_medium,control
146,B147,rural,84,Sind,2010,small,Sind_rural_small,control
262,B263,urban,200,KPK,2013,medium,KPK_urban_medium,control
85,B086,rural,194,Balochistan,2010,medium,Balochistan_rural_medium,control
16,B017,urban,180,Balochistan,2011,medium,Balochistan_urban_medium,control
0,B001,rural,142,Sind,2017,small,Sind_rural_small,not selected
1,B002,rural,70,Sind,2019,small,Sind_rural_small,not selected
2,B003,rural,124,Sind,2017,small,Sind_rural_small,not selected
3,B004,rural,149,Balochistan,2017,small,Balochistan_rural_small,not selected
7,B008,rural,108,Sind,2019,small,Sind_rural_small,not selected
9,B010,urban,154,Balochistan,2018,medium,Balochistan_urban_medium,not selected
11,B012,rural,67,Balochistan,2018,small,Balochistan_rural_small,not selected
12,B013,urban,113,KPK,2019,small,KPK_urban_small,not selected
13,B014,rural,139,Punjab,2011,small,Punjab_rural_small,not selected
