branch_code,measurement_period,pass_percentage,new_enrollments,revenue,cleanliness_score,measurement_date
B373,year 1,81.79,27,38948.99,69.48,2024-01-01
B385,year 1,75.63,29,45146.64,75.19,2024-01-01
B011,year 1,77.07,29,50560.19,54.28,2024-01-01
B158,year 1,74.98,21,30403.39,57.59,2024-01-01
B371,year 1,83.41,16,34353.09,65.45,2024-01-01
B214,year 1,79.32,34,51311.27,66.51,2024-01-01
B311,year 1,76.21,14,46251.92,80.06,2024-01-01
B231,year 1,69.94,36,56809.49,73.28,2024-01-01
B353,year 1,80.87,27,67344.8,70.18,2024-01-01
B166,year 1,77.45,45,78226.52,81.65,2024-01-01
B338,year 1,80.35,33,56841.7,63.68,2024-01-01
B228,year 1,79.41,45,61251.09,66.54,2024-01-01
B392,year 1,79.29,38,83099.36,57.38,2024-01-01
B208,year 1,73.25,49,71918.13,81.86,2024-01-01
B169,year 1,79.9,34,44829.88,69.64,2024-01-01
B363,year 1,87.0,159,265656.98,65.3,2024-01-01
B190,year 1,78.07,122,132624.99,83.9,2024-01-01
B161,year 1,76.62,151,243479.71,66.6,2024-01-01
B180,year 1,81.87,58,90370.34,71.53,2024-01-01
B273,year 1,84.76,55,95336.29,55.95,2024-01-01
B020,year 1,77.97,62,113075.83,66.37,2024-01-01
B197,year 1,74.33,114,205176.85,72.48,2024-01-01
B095,year 1,78.26,87,111369.55,52.03,2024-01-01
B006,year 1,78.08,121,216129.09,95.73,2024-01-01
B264,year 1,76.13,122,241090.98,79.97,2024-01-01
B029,year 1,82.28,52,129278.84,55.25,2024-01-01
B222,year 1,78.93,40,121124.46,59.19,2024-01-01
B023,year 1,76.0,134,178229.76,68.71,2024-01-01
B292,year 1,71.68,144,247897.5,60.58,2024-01-01
B015,year 1,75.83,56,112548.81,82.32,2024-01-01
B302,year 1,71.12,42,94748.55,74.24,2024-01-01
B005,year 1,81.42,61,116883.83,73.72,2024-01-01
B025,year 1,79.23,59,102438.57,73.75,2024-01-01
B072,year 1,72.45,80,114819.3,77.24,2024-01-01
B077,year 1,74.99,77,161924.38,80.44,2024-01-01
B022,year 1,79.25,107,171713.99,63.04,2024-01-01
B046,year 1,71.74,141,194346.99,70.13,2024-01-01
B073,year 1,85.0,53,95585.01,60.9,2024-01-01
B080,year 1,72.13,77,120663.24,74.4,2024-01-01
B319,year 1,78.93,48,81912.96,79.19,2024-01-01
B364,year 1,78.96,48,49964.85,61.87,2024-01-01
B100,year 1,79.2,30,67253.61,76.22,2024-01-01
B094,year 1,84.37,34,76433.37,74.73,2024-01-01
B119,year 1,81.42,47,90844.57,80.51,2024-01-01
B258,year 1,82.24,27,37183.26,62.33,2024-01-01
B053,year 1,75.89,33,76488.07,50.85,2024-01-01
B289,year 1,80.78,113,201726.75,64.93,2024-01-01
B209,year 1,83.41,118,207725.61,77.18,2024-01-01
B067,year 1,72.39,117,263732.04,91.52,2024-01-01
B376,year 1,81.88,73,116564.44,79.61,2024-01-01
B234,year 1,70.65,48,65778.99,51.07,2024-01-01
B261,year 1,74.18,19,56095.09,68.11,2024-01-01
B324,year 1,65.79,19,37058.14,49.88,2024-01-01
B322,year 1,71.32,39,77619.85,71.95,2024-01-01
B345,year 1,70.6,20,35885.74,60.56,2024-01-01
B240,year 1,70.25,20,35785.42,66.14,2024-01-01
B163,year 1,81.2,37,52100.03,54.09,2024-01-01
B306,year 1,75.54,17,47247.95,61.05,2024-01-01
B109,year 1,72.86,31,63601.14,87.47,2024-01-01
B160,year 1,67.2,46,62969.97,57.07,2024-01-01
B110,year 1,72.79,22,27573.52,57.67,2024-01-01
B344,year 1,79.36,17,48131.26,66.66,2024-01-01
B131,year 1,80.12,34,72351.01,73.17,2024-01-01
B223,year 1,76.35,38,78915.89,62.14,2024-01-01
B007,year 1,73.26,38,67657.38,76.3,2024-01-01
B105,year 1,72.85,141,275781.46,63.49,2024-01-01
B226,year 1,73.15,141,251921.43,53.91,2024-01-01
B016,year 1,68.43,117,206203.54,70.38,2024-01-01
B051,year 1,75.97,32,70601.19,74.48,2024-01-01
B265,year 1,71.48,44,88816.21,58.2,2024-01-01
B201,year 1,68.14,45,107293.91,61.46,2024-01-01
B009,year 1,77.43,84,140130.82,61.66,2024-01-01
B277,year 1,78.31,66,145217.93,66.73,2024-01-01
B018,year 1,69.84,122,269945.74,57.1,2024-01-01
B349,year 1,74.97,141,250085.3,70.66,2024-01-01
B036,year 1,73.95,34,81796.84,71.82,2024-01-01
B369,year 1,81.87,52,104938.11,72.37,2024-01-01
B034,year 1,75.3,73,228551.15,57.48,2024-01-01
B140,year 1,71.13,127,206154.02,58.5,2024-01-01
B040,year 1,75.24,89,165194.36,58.66,2024-01-01
B070,year 1,72.14,82,131083.16,50.69,2024-01-01
B293,year 1,82.77,61,98677.96,58.69,2024-01-01
B304,year 1,65.57,56,103782.16,49.71,2024-01-01
B284,year 1,69.59,93,121668.23,65.26,2024-01-01
B337,year 1,77.57,69,148148.78,49.15,2024-01-01
B278,year 1,80.35,86,221837.79,67.96,2024-01-01
B358,year 1,80.79,153,271510.53,61.51,2024-01-01
B335,year 1,79.68,78,174947.71,77.65,2024-01-01
B325,year 1,68.14,52,114841.11,75.6,2024-01-01
B342,year 1,64.31,49,85250.25,70.88,2024-01-01
B194,year 1,83.84,31,61004.29,48.3,2024-01-01
B106,year 1,73.9,42,60198.64,72.74,2024-01-01
B204,year 1,75.24,27,51292.76,66.16,2024-01-01
B395,year 1,81.24,40,61658.41,56.98,2024-01-01
B239,year 1,73.95,12,24629.98,83.39,2024-01-01
B200,year 1,73.84,63,99425.74,61.07,2024-01-01
B147,year 1,75.42,20,49896.78,61.89,2024-01-01
B263,year 1,64.54,65,134375.78,63.28,2024-01-01
B086,year 1,78.74,59,105609.6,65.22,2024-01-01
B017,year 1,69.92,55,84807.56,48.93,2024-01-01
B001,year 1,68.54,35,61574.7,81.95,2024-01-01
B002,year 1,78.55,25,38184.04,55.52,2024-01-01
B003,year 1,80.45,36,69493.72,54.25,2024-01-01
B004,year 1,68.47,50,62422.39,71.95,2024-01-01
B008,year 1,72.2,27,52471.72,65.0,2024-01-01
B010,year 1,68.8,37,75491.47,71.46,2024-01-01
B012,year 1,75.73,29,30909.88,51.23,2024-01-01
B013,year 1,78.25,39,53181.36,48.26,2024-01-01
B014,year 1,63.33,33,74382.44,70.23,2024-01-01
B019,year 1,67.37,53,100122.12,63.68,2024-01-01
B021,year 1,68.29,108,180740.64,74.93,2024-01-01
B024,year 1,69.9,35,36990.48,57.57,2024-01-01
B026,year 1,76.11,13,33202.02,67.36,2024-01-01
B027,year 1,74.51,38,67866.81,62.35,2024-01-01
B028,year 1,72.93,49,89848.13,69.94,2024-01-01
B030,year 1,82.55,50,107112.69,63.81,2024-01-01
B031,year 1,65.95,27,41146.18,65.99,2024-01-01
B032,year 1,85.06,35,65360.94,71.53,2024-01-01
B033,year 1,68.33,22,60056.56,69.46,2024-01-01
B035,year 1,87.38,155,227548.14,59.35,2024-01-01
B037,year 1,77.78,14,25225.45,64.39,2024-01-01
B038,year 1,69.39,67,109454.82,56.3,2024-01-01
B039,year 1,79.66,23,40421.97,59.26,2024-01-01
B041,year 1,68.1,32,57262.67,66.77,2024-01-01
B042,year 1,73.34,100,144581.36,68.45,2024-01-01
B043,year 1,78.67,41,82358.09,79.57,2024-01-01
B044,year 1,82.4,141,190553.97,53.16,2024-01-01
B045,year 1,74.41,41,45335.56,79.74,2024-01-01
B047,year 1,72.05,142,213215.44,54.55,2024-01-01
B048,year 1,67.13,44,59497.47,53.97,2024-01-01
B049,year 1,71.03,91,220805.18,62.2,2024-01-01
B050,year 1,69.98,52,88400.81,73.17,2024-01-01
B052,year 1,84.27,48,113638.72,90.82,2024-01-01
B054,year 1,75.81,22,57668.52,62.94,2024-01-01
B055,year 1,70.72,52,76415.52,63.04,2024-01-01
B056,year 1,79.6,48,93456.01,44.29,2024-01-01
B057,year 1,73.72,146,240257.24,53.62,2024-01-01
B058,year 1,82.15,43,74772.25,54.13,2024-01-01
B059,year 1,69.99,73,130541.19,65.44,2024-01-01
